tweet_id,term,pos,pos_fre,neg_fre,label
0,rumit,adj,3,6,0
1,bintang,n,1,0,1
1,lancar,adj,2,2,1
2,sedih,n,0,2,0
2,kolot,adj,1,4,0
3,suka,adj,3,1,1
3,agam,adj,2,2,1
3,harga,n,1,0,1
4,percaya,v,5,1,1
5,kampung,n,0,1,0
5,waras,adj,7,1,0
6,luas,adj,5,2,1
7,buruk,adj,0,18,0
7,percaya,v,5,1,0
8,sakit,adj,0,6,0
8,ganggu,v,0,3,0
9,nyaman,adj,3,1,1
10,kawasan,n,4,2,1
11,luas,adj,5,2,1
11,maju,v,5,0,1
12,kecewa,adj,0,3,0
13,jatuh,v,3,12,1
13,stabil,adj,1,3,1
14,pakar,n,3,0,1
14,unggul,adj,8,0,1
15,buruk,adj,0,18,0
16,pimpin,v,1,0,1
17,kenal,v,3,0,0
17,payah,adj,1,7,0
18,usang,adj,0,5,0
18,payah,adj,1,7,0
19,buruk,adj,0,18,0
19,payah,adj,1,7,0
20,lengkap,adj,3,0,1
20,baik,adj,12,0,1
20,suka,adj,3,1,1
21,buruk,adj,0,18,0
21,senang,adj,7,3,0
21,jamin,v,1,1,0
22,emosi,n,2,0,0
23,mati,v,1,4,0
23,suram,adj,4,11,0
23,layak,adj,8,0,0
24,tajam,adj,11,6,1
24,mantap,adj,2,2,1
24,halus,adj,15,5,1
24,pokok,n,2,1,1
25,daerah,n,4,2,1
25,asing,adj,2,5,1
26,nasib,n,4,0,0
26,parah,adj,1,4,0
27,sesuai,n,2,0,1
27,perlu,adv,1,1,1
28,kualitas,n,3,0,0
28,layak,adj,8,0,0
28,baik,adj,12,0,0
29,murah,adj,2,4,1
29,mutu,n,3,0,1
30,hebat,adj,14,5,1
30,harga,n,1,0,1
30,murah,adj,2,4,1
30,juara,n,1,0,1
31,sesuai,n,2,0,1
31,mantap,adj,2,2,1
32,jelek,adj,1,2,0
32,parah,adj,1,4,0
32,main,v,3,0,0
33,murah,adj,2,4,1
33,tajam,adj,11,6,1
33,juara,n,1,0,1
34,hemat,adj,3,1,1
35,asa,n,1,1,0
35,ganggu,v,0,3,0
36,percaya,v,5,1,0
36,khianat,n,2,0,0
37,gembira,adj,10,7,1
37,jaga,v,4,4,1
38,pelit,adj,0,1,0
38,cukup,adj,2,2,0
39,kolot,adj,1,4,0
39,bagus,adj,12,0,0
39,kuat,adj,17,8,0
40,rumit,adj,3,6,0
41,bintang,n,1,0,1
41,lancar,adj,2,2,1
42,sedih,n,0,2,0
42,kolot,adj,1,4,0
43,suka,adj,3,1,1
43,agam,adj,2,2,1
43,harga,n,1,0,1
44,percaya,v,5,1,1
45,kampung,n,0,1,0
45,waras,adj,7,1,0
46,luas,adj,5,2,1
47,buruk,adj,0,18,0
47,percaya,v,5,1,0
48,sakit,adj,0,6,0
48,ganggu,v,0,3,0
49,nyaman,adj,3,1,1
50,kawasan,n,4,2,1
51,luas,adj,5,2,1
51,maju,v,5,0,1
52,kecewa,adj,0,3,0
53,jatuh,v,3,12,1
53,stabil,adj,1,3,1
54,pakar,n,3,0,1
54,unggul,adj,8,0,1
55,buruk,adj,0,18,0
56,pimpin,v,1,0,1
57,kenal,v,3,0,0
57,payah,adj,1,7,0
58,usang,adj,0,5,0
58,payah,adj,1,7,0
59,buruk,adj,0,18,0
59,payah,adj,1,7,0
60,lengkap,adj,3,0,1
60,baik,adj,12,0,1
60,suka,adj,3,1,1
61,buruk,adj,0,18,0
61,senang,adj,7,3,0
61,jamin,v,1,1,0
62,emosi,n,2,0,0
63,mati,v,1,4,0
63,suram,adj,4,11,0
63,layak,adj,8,0,0
64,tajam,adj,11,6,1
64,mantap,adj,2,2,1
64,halus,adj,15,5,1
64,pokok,n,2,1,1
65,daerah,n,4,2,1
65,asing,adj,2,5,1
66,nasib,n,4,0,0
66,parah,adj,1,4,0
67,sesuai,n,2,0,1
67,perlu,adv,1,1,1
68,kualitas,n,3,0,0
68,layak,adj,8,0,0
68,baik,adj,12,0,0
69,murah,adj,2,4,1
69,mutu,n,3,0,1
70,hebat,adj,14,5,1
70,harga,n,1,0,1
70,murah,adj,2,4,1
70,juara,n,1,0,1
71,sesuai,n,2,0,1
71,mantap,adj,2,2,1
72,jelek,adj,1,2,0
72,parah,adj,1,4,0
72,main,v,3,0,0
73,murah,adj,2,4,1
73,tajam,adj,11,6,1
73,juara,n,1,0,1
74,hemat,adj,3,1,1
75,asa,n,1,1,0
75,ganggu,v,0,3,0
76,percaya,v,5,1,0
76,khianat,n,2,0,0
77,gembira,adj,10,7,1
77,jaga,v,4,4,1
78,pelit,adj,0,1,0
78,cukup,adj,2,2,0
79,kolot,adj,1,4,0
79,bagus,adj,12,0,0
79,kuat,adj,17,8,0
80,rumit,adj,3,6,0
81,bintang,n,1,0,1
81,lancar,adj,2,2,1
82,sedih,n,0,2,0
82,kolot,adj,1,4,0
83,suka,adj,3,1,1
83,agam,adj,2,2,1
83,harga,n,1,0,1
84,percaya,v,5,1,1
85,kampung,n,0,1,0
85,waras,adj,7,1,0
86,luas,adj,5,2,1
87,buruk,adj,0,18,0
87,percaya,v,5,1,0
88,sakit,adj,0,6,0
88,ganggu,v,0,3,0
89,nyaman,adj,3,1,1
90,kawasan,n,4,2,1
91,luas,adj,5,2,1
91,maju,v,5,0,1
92,kecewa,adj,0,3,0
93,jatuh,v,3,12,1
93,stabil,adj,1,3,1
94,pakar,n,3,0,1
94,unggul,adj,8,0,1
95,buruk,adj,0,18,0
96,pimpin,v,1,0,1
97,kenal,v,3,0,0
97,payah,adj,1,7,0
98,usang,adj,0,5,0
98,payah,adj,1,7,0
99,buruk,adj,0,18,0
99,payah,adj,1,7,0
100,lengkap,adj,3,0,1
100,baik,adj,12,0,1
100,suka,adj,3,1,1
101,buruk,adj,0,18,0
101,senang,adj,7,3,0
101,jamin,v,1,1,0
102,emosi,n,2,0,0
103,mati,v,1,4,0
103,suram,adj,4,11,0
103,layak,adj,8,0,0
104,tajam,adj,11,6,1
104,mantap,adj,2,2,1
104,halus,adj,15,5,1
104,pokok,n,2,1,1
105,daerah,n,4,2,1
105,asing,adj,2,5,1
106,nasib,n,4,0,0
106,parah,adj,1,4,0
107,sesuai,n,2,0,1
107,perlu,adv,1,1,1
108,kualitas,n,3,0,0
108,layak,adj,8,0,0
108,baik,adj,12,0,0
109,murah,adj,2,4,1
109,mutu,n,3,0,1
110,hebat,adj,14,5,1
110,harga,n,1,0,1
110,murah,adj,2,4,1
110,juara,n,1,0,1
111,sesuai,n,2,0,1
111,mantap,adj,2,2,1
112,jelek,adj,1,2,0
112,parah,adj,1,4,0
112,main,v,3,0,0
113,murah,adj,2,4,1
113,tajam,adj,11,6,1
113,juara,n,1,0,1
114,hemat,adj,3,1,1
115,asa,n,1,1,0
115,ganggu,v,0,3,0
116,percaya,v,5,1,0
116,khianat,n,2,0,0
117,gembira,adj,10,7,1
117,jaga,v,4,4,1
118,pelit,adj,0,1,0
118,cukup,adj,2,2,0
119,kolot,adj,1,4,0
119,bagus,adj,12,0,0
119,kuat,adj,17,8,0
120,rumit,adj,3,6,0
121,bintang,n,1,0,1
121,lancar,adj,2,2,1
122,sedih,n,0,2,0
122,kolot,adj,1,4,0
123,suka,adj,3,1,1
123,agam,adj,2,2,1
123,harga,n,1,0,1
124,percaya,v,5,1,1
125,kampung,n,0,1,0
125,waras,adj,7,1,0
126,luas,adj,5,2,1
127,buruk,adj,0,18,0
127,percaya,v,5,1,0
128,sakit,adj,0,6,0
128,ganggu,v,0,3,0
129,nyaman,adj,3,1,1
130,kawasan,n,4,2,1
131,luas,adj,5,2,1
131,maju,v,5,0,1
132,kecewa,adj,0,3,0
133,jatuh,v,3,12,1
133,stabil,adj,1,3,1
134,pakar,n,3,0,1
134,unggul,adj,8,0,1
135,buruk,adj,0,18,0
136,pimpin,v,1,0,1
137,kenal,v,3,0,0
137,payah,adj,1,7,0
138,usang,adj,0,5,0
138,payah,adj,1,7,0
139,buruk,adj,0,18,0
139,payah,adj,1,7,0
140,lengkap,adj,3,0,1
140,baik,adj,12,0,1
140,suka,adj,3,1,1
141,buruk,adj,0,18,0
141,senang,adj,7,3,0
141,jamin,v,1,1,0
142,emosi,n,2,0,0
143,mati,v,1,4,0
143,suram,adj,4,11,0
143,layak,adj,8,0,0
144,tajam,adj,11,6,1
144,mantap,adj,2,2,1
144,halus,adj,15,5,1
144,pokok,n,2,1,1
145,daerah,n,4,2,1
145,asing,adj,2,5,1
146,nasib,n,4,0,0
146,parah,adj,1,4,0
147,sesuai,n,2,0,1
147,perlu,adv,1,1,1
148,kualitas,n,3,0,0
148,layak,adj,8,0,0
148,baik,adj,12,0,0
149,murah,adj,2,4,1
149,mutu,n,3,0,1
150,hebat,adj,14,5,1
150,harga,n,1,0,1
150,murah,adj,2,4,1
150,juara,n,1,0,1
151,sesuai,n,2,0,1
151,mantap,adj,2,2,1
152,jelek,adj,1,2,0
152,parah,adj,1,4,0
152,main,v,3,0,0
153,murah,adj,2,4,1
153,tajam,adj,11,6,1
153,juara,n,1,0,1
154,hemat,adj,3,1,1
155,asa,n,1,1,0
155,ganggu,v,0,3,0
156,percaya,v,5,1,0
156,khianat,n,2,0,0
157,gembira,adj,10,7,1
157,jaga,v,4,4,1
158,pelit,adj,0,1,0
158,cukup,adj,2,2,0
159,kolot,adj,1,4,0
159,bagus,adj,12,0,0
159,kuat,adj,17,8,0
